angle_1,velocity_1 angle_2,velocity_2
-0.707082,2.37826,1.04949,0
-0.702953,2.34628,1.04536,0.014537
-0.69676,2.41896,1.03911,0
-0.690713,2.42478,1.03315,0
-0.684636,2.40152,1.0271,0
-0.679519,2.355,1.02192,0.0552407
-0.673937,2.37826,1.01628,0
-0.668326,2.42478,1.01073,-0.0610556
-0.662249,2.4335,1.0048,0
-0.656435,2.41896,0.998985,0.0785
-0.651317,2.36954,0.993723,0
-0.645357,2.41024,0.987762,-0.0697778
-0.640851,2.45094,0.983314,0
-0.636577,2.46548,0.979069,0
-0.632245,2.4335,0.974708,0
-0.627971,2.44222,0.970434,0
-0.623435,2.41896,0.965928,0
-0.618289,2.4335,0.960782,0.0552407
-0.613405,2.4742,0.95581,0.0552407
-0.608753,2.48874,0.9511,0
-0.603752,2.46548,0.946157,0
-0.59849,2.41896,0.940924,0
-0.593315,2.46548,0.935691,0.014537
-0.58811,2.45676,0.930428,0
-0.584098,2.5527,0.926416,-0.0610556
-0.579417,2.49746,0.921822,0
-0.574736,2.45094,0.917142,0
-0.570462,2.46548,0.91281,0
-0.56488,2.40152,0.907227,-0.0785
-0.559763,2.40152,0.902256,0
-0.555257,2.3928,0.897749,0.0552407
-0.550808,2.33756,0.893214,0
-0.545866,2.26778,0.888242,-0.110481
-0.54165,2.2358,0.884201,-0.0697778
-0.53694,2.14567,0.879607,-0.0377963
-0.53319,2.05844,0.875915,0
-0.52877,2.01193,0.871495,-0.0785
-0.524496,1.95378,0.867367,-0.125019
-0.521095,1.86656,0.864227,-0.142463
-0.517373,1.79387,0.860767,-0.133741
-0.51403,1.70665,0.857656,-0.165722
-0.511064,1.62815,0.854981,-0.252944
-0.507633,1.57291,0.852161,-0.30237
-0.504319,1.46824,0.849457,-0.316907
-0.501382,1.34904,0.847189,-0.334352
-0.498708,1.24437,0.845183,-0.366333
-0.496207,1.14843,0.843497,-0.453556
-0.493969,1.0205,0.842189,-0.462278
-0.492021,0.942,0.841171,-0.453556
-0.490015,0.910019,0.840066,-0.485537
-0.488445,0.846056,0.839456,-0.508796
-0.486642,0.764648,0.838758,-0.558222
-0.485101,0.700685,0.838351,-0.572759
-0.483705,0.668704,0.838031,-0.604741
-0.482397,0.604741,0.837886,-0.677426
-0.48138,0.558222,0.838235,-0.764648
-0.480246,0.471,0.838729,-0.860593
-0.479257,0.462278,0.839368,-0.956537
-0.478443,0.38087,0.840531,-1.13389
-0.477687,0.343074,0.842101,-1.28507
-0.477018,0.334352,0.843904,-1.44498
-0.47635,0.334352,0.846172,-1.57291
-0.47571,0.30237,0.848643,-1.60489
-0.475129,0.30237,0.851114,-1.63687
-0.474547,0.293648,0.853818,-1.71537
-0.473937,0.261667,0.856697,-1.87528
-0.473355,0.229685,0.859924,-2.07589
-0.472861,0.252944,0.863384,-2.18637
-0.472367,0.238407,0.86728,-2.24161
-0.471872,0.220963,0.871234,-2.21835
-0.471407,0.206426,0.875217,-2.18637
-0.470971,0.183167,0.879171,-2.18637
-0.470622,0.157,0.882892,-2.16311
-0.470302,0.157,0.886905,-2.13113
-0.470012,0.151185,0.89083,-2.01774
