angle_1,angle_1_t,angle_2,angle_2_t
-0.53511,-0.497283,1.8303,1.82379
-0.53544,-0.497603,1.83042,1.82411
-0.53577,-0.497865,1.83055,1.82437
-0.53611,-0.498156,1.83067,1.82463
-0.53644,-0.498504,1.8308,1.82498
-0.53677,-0.498882,1.83092,1.82536
-0.53711,-0.49926,1.83104,1.82571
-0.53744,-0.49958,1.83117,1.82597
-0.53777,-0.4999,1.83129,1.82626
-0.5381,-0.500191,1.83142,1.82652
-0.53844,-0.500482,1.83154,1.82678
-0.53877,-0.500772,1.83167,1.82704
-0.5391,-0.501063,1.83179,1.82728
-0.53944,-0.501412,1.83191,1.82754
-0.53977,-0.501761,1.83204,1.8278
-0.5401,-0.502052,1.83216,1.82803
-0.54043,-0.502313,1.83228,1.82818
-0.54077,-0.502575,1.83241,1.82835
-0.5411,-0.502837,1.83253,1.8285
-0.54143,-0.503069,1.83265,1.82861
-0.54177,-0.50336,1.83277,1.82876
-0.5421,-0.503709,1.8329,1.82896
-0.54243,-0.504058,1.83302,1.82917
-0.54276,-0.504348,1.83314,1.82931
-0.5431,-0.504668,1.83326,1.82949
-0.54343,-0.504959,1.83338,1.82963
-0.54376,-0.50525,1.83351,1.82978
-0.54409,-0.505511,1.83363,1.82989
-0.54443,-0.505773,1.83375,1.83001
-0.54476,-0.506093,1.83387,1.83018
-0.54509,-0.506384,1.83399,1.83036
-0.54543,-0.506703,1.83411,1.83053
-0.54576,-0.507023,1.83423,1.83071
-0.54609,-0.507314,1.83436,1.83085
-0.54642,-0.507605,1.83448,1.83097
-0.54676,-0.507924,1.8346,1.83117
-0.54709,-0.508215,1.83472,1.83129
-0.54742,-0.508506,1.83484,1.83143
-0.54775,-0.508826,1.83496,1.83158
-0.54809,-0.509117,1.83508,1.83172
-0.54842,-0.509407,1.8352,1.83184
-0.54875,-0.509727,1.83532,1.83199
-0.54908,-0.510047,1.83544,1.83213
-0.54942,-0.510367,1.83556,1.83228
-0.54975,-0.510687,1.83568,1.83239
-0.55008,-0.511006,1.8358,1.83254
-0.55041,-0.511297,1.83591,1.83266
-0.55075,-0.511588,1.83603,1.83277
-0.55108,-0.511908,1.83615,1.83292
-0.55141,-0.512227,1.83627,1.83306
-0.55174,-0.512576,1.83639,1.83321
-0.55208,-0.512867,1.83651,1.83332
-0.55241,-0.513187,1.83663,1.83344
-0.55274,-0.513507,1.83674,1.83356
-0.55307,-0.513856,1.83686,1.8337
-0.55341,-0.514204,1.83698,1.83388
-0.55374,-0.514553,1.8371,1.83402
-0.55407,-0.514931,1.83722,1.83417
-0.5544,-0.515251,1.83733,1.83428
-0.55474,-0.515571,1.83745,1.8344
-0.55507,-0.515891,1.83757,1.83449
-0.5554,-0.516211,1.83769,1.8346
-0.55573,-0.516589,1.8378,1.83469
-0.55607,-0.516996,1.83792,1.83484
-0.5564,-0.517374,1.83804,1.83495
-0.55673,-0.517722,1.83815,1.83501
-0.55706,-0.518042,1.83827,1.83504
-0.55739,-0.518333,1.83839,1.83504
-0.55773,-0.518595,1.8385,1.83504
-0.55806,-0.518914,1.83862,1.83504
-0.55839,-0.519263,1.83873,1.83507
-0.55872,-0.519641,1.83885,1.83513
-0.55906,-0.520019,1.83896,1.83516
-0.55939,-0.520426,1.83908,1.83521
-0.55972,-0.520833,1.8392,1.83524
-0.56005,-0.521211,1.83931,1.83524
-0.56038,-0.521531,1.83943,1.83516
-0.56072,-0.521822,1.83954,1.83507
-0.56105,-0.522113,1.83966,1.83495
-0.56138,-0.522432,1.83977,1.83486
-0.56171,-0.522752,1.83989,1.83478
-0.56205,-0.523159,1.84,1.83478
-0.56238,-0.523508,1.84011,1.83475
-0.56271,-0.523857,1.84023,1.83466
-0.56304,-0.524206,1.84034,1.83463
-0.56337,-0.524526,1.84046,1.83452
-0.56371,-0.524787,1.84057,1.8344
-0.56404,-0.525078,1.84068,1.83425
-0.56437,-0.52534,1.8408,1.83414
-0.5647,-0.52566,1.84091,1.83411
-0.56503,-0.52595,1.84102,1.83405
