torque_1,torque_2
-0.133542,-0.893857
-0.137742,-0.895057
-0.141942,-0.896557
-0.146142,-0.898057
-0.150342,-0.899257
-0.154542,-0.900757
-0.159092,-0.902257
-0.163292,-0.903457
-0.167492,-0.904957
-0.171692,-0.905584
-0.175892,-0.906784
-0.180092,-0.908284
-0.184642,-0.909784
-0.188842,-0.90924
-0.193042,-0.91074
-0.197242,-0.91224
-0.201442,-0.91344
-0.205642,-0.914068
-0.210192,-0.915568
-0.198256,-0.916768
-0.217574,-0.917396
-0.221774,-0.918896
-0.225974,-0.919223
-0.230174,-0.920723
-0.234724,-0.921923
-0.237907,-0.927203
-0.242107,-0.924923
-0.246307,-0.925251
-0.250507,-0.926751
-0.255057,-0.928251
-0.259257,-0.929451
-0.263457,-0.930951
-0.267657,-0.931279
-0.271857,-0.93336
-0.276407,-0.934279
-0.278571,-0.937223
-0.282771,-0.938723
-0.286971,-0.944575
-0.291171,-0.940551
-0.295721,-0.942051
-0.299921,-0.943251
-0.303104,-0.945623
-0.307304,-0.945951
-0.311854,-0.947451
-0.299918,-0.948951
-0.319236,-0.948407
-0.322419,-0.95136
-0.313971,-0.953433
-0.317504,-0.952607
-0.326501,-0.953234
-0.329684,-0.954434
-0.336355,-0.95826
-0.341196,-0.957134
-0.334057,-0.958634
-0.333896,-0.960707
-0.348708,-0.966859
-0.337121,-0.967486
-0.336815,-0.967814
-0.343486,-0.96786
-0.359752,-0.96906
-0.359941,-0.969688
-0.342335,-0.969434
-0.366596,-0.972388
-0.357132,-0.977368
-0.371276,-0.97567
-0.362102,-0.979486
-0.351474,-0.977497
-0.373409,-0.980742
-0.377233,-0.983396
-0.350469,-0.984314
-0.351616,-0.984642
-0.352763,-0.986723
-0.370542,-0.987051
-0.374015,-0.987097
-0.363823,-0.987425
-0.372298,-0.991833
-0.35164,-0.992451
-0.35177,-0.99366
-0.355388,-0.990209
-0.355868,-0.994034
-0.352509,-0.99349
-0.360924,-0.994118
-0.359078,-0.995027
-0.357172,-0.995655
-0.348289,-0.995983
-0.343912,-0.997192
-0.340031,-0.993449
-0.338125,-0.994949
-0.338546,-0.994986
-0.343968,-0.993288
-0.334067,-0.994197
-0.326346,-0.993953
-0.319267,-0.99399
-0.315326,-0.992001
-0.312403,-0.990584
-0.299159,-0.990921
-0.299057,-0.988342
-0.291627,-0.984899
-0.286669,-0.984064
-0.278571,-0.982947
-0.267798,-0.979786
-0.255862,-0.976634
-0.249219,-0.973183
-0.239754,-0.971475
-0.231452,-0.968614
-0.226844,-0.963709
-0.223194,-0.957359
-0.210385,-0.954779
