vel_1,vel_2
0.0697778,0.0377963
0.119204,0.0610556
0.125019,0.0697778
0.133741,0.0465185
0.133741,0.0697778
0.133741,0.0872222
0.165722,0.0872222
0.119204,0.0872222
0.157,0.101759
0.151185,0.0785
0.142463,0.0785
0.151185,0.119204
0.183167,0.110481
0.188981,0.119204
0.183167,0.125019
0.174444,0.125019
0.165722,0.125019
0.197704,0.151185
0.197704,0.142463
0.215148,0.151185
0.197704,0.174444
0.229685,0.157
0.220963,0.183167
0.24713,0.183167
0.252944,0.174444
0.220963,0.183167
0.252944,0.197704
0.252944,0.183167
0.24713,0.183167
0.252944,0.165722
0.252944,0.197704
0.252944,0.183167
0.279111,0.197704
0.252944,0.188981
0.252944,0.188981
0.261667,0.206426
0.284926,0.215148
0.279111,0.220963
0.279111,0.24713
0.279111,0.229685
0.279111,0.261667
0.261667,0.270389
0.270389,0.284926
0.270389,0.279111
0.279111,0.270389
0.24713,0.261667
0.252944,0.284926
0.252944,0.261667
0.24713,0.252944
0.252944,0.252944
0.252944,0.220963
0.252944,0.215148
0.238407,0.197704
0.270389,0.157
0.252944,0.125019
0.261667,0.119204
0.252944,0.101759
0.252944,0.0872222
0.252944,0.0697778
0.261667,0.0377963
0.229685,0.00581481
