angle_1 angle_2
-1.02466 2.06502
-1.02411 2.06513
-1.02352 2.06519
-1.02291 2.06522
-1.0223 2.06519
-1.02166 2.06513
-1.02108 2.06513
-1.02044 2.06507
-1.01983 2.06504
-1.01922 2.06507
-1.01864 2.06516
-1.01803 2.06528
-1.01745 2.06542
-1.0169 2.06563
-1.01628 2.0658
-1.01567 2.066
-1.01509 2.06624
-1.01445 2.06659
-1.01373 2.06673
-1.01314 2.06699
-1.01256 2.06728
-1.01201 2.0676
-1.01143 2.06789
-1.01088 2.06821
-1.0103 2.06848
-1.00974 2.06877
-1.00913 2.06897
-1.00852 2.06917
-1.00791 2.06935
-1.0073 2.06952
-1.00669 2.06973
-1.00608 2.06996
-1.00541 2.0701
-1.0048 2.07031
-1.00407 2.07057
-1.00349 2.0708
-1.00288 2.07098
-1.0023 2.07121
-1.00172 2.07141
-1.00114 2.07164
-1.00053 2.07182
-0.999945 2.07205
-0.999363 2.07228
-0.998753 2.07255
-0.998084 2.07292
-0.997561 2.07321
-0.997067 2.07353
-0.996543 2.0738
-0.996049 2.07406
-0.995555 2.07435
-0.99506 2.07464
-0.994595 2.07496
-0.994101 2.07534
-0.993694 2.07574
-0.993258 2.07612
-0.992851 2.07653
-0.992473 2.07694
-0.992037 2.07743
-0.991688 2.07787
-0.991368 2.07833
-0.991048 2.07874
-0.990728 2.0792
-0.990438 2.07961
-0.990176 2.08005
-0.989885 2.08043
-0.989653 2.08077
-0.98942 2.08106
-0.989188 2.0813
-0.989013 2.08153
-0.988839 2.0817
-0.988693 2.08188
-0.988519 2.08197
-0.988403 2.08208
-0.988286 2.0822
-0.988228 2.08231
-0.98817 2.08243
-0.98817 2.08258
-0.988141 2.08272
-0.988141 2.08287
-0.988141 2.08298
-0.988141 2.08313
-0.988141 2.08322
-0.98817 2.08333
-0.988228 2.08345
-0.988286 2.08354
-0.988373 2.08365
-0.988432 2.08371
-0.988577 2.08383
-0.988693 2.08391
-0.98881 2.08403
-0.988926 2.08409
-0.989071 2.0842
-0.989188 2.08426
-0.989333 2.08432
-0.98942 2.08432
-0.989536 2.08432
-0.989624 2.08429
-0.989711 2.08429
-0.989769 2.08423
-0.989856 2.08426
-0.989914 2.08426
-0.989973 2.08429
-0.990031 2.08429
-0.990089 2.08432
-0.990147 2.08438
-0.990147 2.08435
-0.990176 2.08438
-0.990176 2.08435
-0.990176 2.08435
-0.990176 2.08435
-0.990176 2.08435
-0.990176 2.08435
-0.990176 2.08435
-0.990147 2.08432
-0.990118 2.08435
-0.990089 2.08432
-0.99006 2.08432
-0.990031 2.08432
-0.990002 2.08432
-0.989973 2.08432
-0.989914 2.08429
-0.989885 2.08429
-0.989856 2.08429
-0.989827 2.08426
-0.989798 2.08426
-0.989769 2.08426
-0.98974 2.08423
-0.98974 2.08423
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989711 2.0842
-0.989682 2.08418
-0.989682 2.08418
-0.989682 2.0842
-0.989653 2.08418
-0.989595 2.08412
-0.989595 2.08418
-0.989565 2.08415
-0.989565 2.08418
-0.989536 2.08415
-0.989536 2.08415
-0.989536 2.08415
-0.989507 2.08412
-0.989507 2.08415
-0.989507 2.08415
-0.989478 2.08412
-0.989478 2.08412
-0.989478 2.08412
-0.989478 2.08412
-0.989478 2.08412
-0.989478 2.08412
-0.989449 2.08409
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08412
-0.989449 2.08415
-0.989449 2.08415
-0.989449 2.08415
-0.98942 2.08412
-0.98942 2.08412
-0.98942 2.08412
-0.98942 2.08412
-0.989391 2.08412
-0.989391 2.08412
-0.989391 2.08412
-0.989362 2.08409
-0.989362 2.08409
-0.989333 2.08409
-0.989333 2.08409
-0.989275 2.08406
-0.989275 2.08409
-0.989246 2.08406
-0.989217 2.08406
-0.989188 2.08403
-0.989188 2.08409
-0.989129 2.08406
-0.9891 2.08403
-0.989071 2.08403
-0.989042 2.08403
-0.989013 2.08403
-0.988955 2.084
-0.988897 2.08397
-0.988868 2.08397
-0.988839 2.08397
-0.98878 2.08394
-0.988722 2.08394
-0.988693 2.08397
-0.988606 2.08391
-0.988548 2.08391
-0.98849 2.08391
-0.988432 2.08391
-0.988373 2.08391
-0.988315 2.08391
-0.988228 2.08388
-0.98817 2.08388
-0.988112 2.08388
-0.988025 2.08388
-0.987937 2.08388
-0.987821 2.08386
-0.987763 2.08386
-0.987647 2.08386
-0.987559 2.08386
-0.987443 2.08383
-0.987356 2.08386
-0.98724 2.08383
-0.987152 2.08386
-0.987007 2.0838
-0.986891 2.08383
-0.986774 2.08383
-0.986629 2.0838
-0.986484 2.0838
-0.986338 2.0838
-0.986193 2.08383
-0.986018 2.08377
-0.985873 2.08377
-0.985699 2.0838
-0.985524 2.08377
-0.98535 2.0838
-0.985146 2.0838
-0.984943 2.0838
-0.984739 2.08377
-0.984507 2.08377
-0.984303 2.08377
-0.98407 2.08377
-0.983838 2.0838
-0.983547 2.08377
-0.983285 2.08377
-0.983053 2.0838
-0.982762 2.08377
-0.982471 2.08377
-0.982181 2.08383
-0.981861 2.0838
-0.981541 2.08383
-0.981192 2.08386
-0.980843 2.08386
-0.980494 2.08388
-0.980087 2.08391
-0.97968 2.084
-0.979186 2.08394
-0.978721 2.08391
-0.978256 2.08394
-0.97779 2.08397
-0.977267 2.084
-0.976744 2.08403
-0.97622 2.08409
-0.97561 2.08415
-0.974999 2.08418
-0.974389 2.08423
-0.973691 2.08426
-0.973022 2.08429
-0.972325 2.08429
-0.971598 2.08432
-0.970842 2.08429
-0.970086 2.08432
-0.969301 2.08435
-0.968516 2.08444
-0.96776 2.08461
-0.966975 2.08479
-0.966219 2.08499
-0.965434 2.08519
-0.96462 2.08534
-0.963777 2.08548
-0.962875 2.08554
-0.961974 2.08557
-0.961073 2.08563
-0.960143 2.08566
-0.95927 2.08572
-0.958398 2.08577
-0.957497 2.08577
-0.956566 2.08577
-0.955636 2.08572
-0.954677 2.08569
-0.953659 2.08563
-0.95267 2.0856
-0.951682 2.08566
-0.950693 2.08575
-0.949705 2.08592
-0.948745 2.08612
-0.947728 2.08644
-0.946798 2.08676
-0.945925 2.08708
-0.945024 2.08743
-0.944065 2.08766
-0.943076 2.08787
-0.942088 2.08801
-0.94107 2.08804
-0.940081 2.08807
-0.939151 2.08804
-0.93825 2.08798
-0.937378 2.08798
-0.936447 2.0879
-0.935517 2.08784
-0.934557 2.08778
-0.933569 2.08772
-0.932638 2.08775
-0.931737 2.08784
-0.930894 2.08801
-0.930051 2.08825
-0.929266 2.08857
-0.928394 2.08897
-0.927609 2.08938
-0.926765 2.08976
-0.925922 2.09016
-0.925108 2.09057
-0.924294 2.09095
-0.923509 2.09136
-0.922724 2.09176
-0.921997 2.09211
-0.921241 2.0924
-0.920515 2.09264
-0.919759 2.09278
-0.919003 2.09287
-0.918276 2.09299
-0.91752 2.09304
-0.916793 2.0931
-0.916095 2.09316
-0.915427 2.09325
-0.914845 2.09342
-0.914235 2.09354
-0.913653 2.09371
-0.913101 2.09392
-0.912519 2.09409
-0.911996 2.09432
-0.911443 2.09453
-0.910978 2.09485
-0.910513 2.09522
-0.910077 2.09563
-0.909728 2.09615
-0.90935 2.09674
-0.90903 2.09732
