torque_1 torque_2
-0.744063 0.566581
-0.765843 0.577081
-0.759857 0.587009
-0.784775 0.597809
-0.794925 0.608609
-0.805075 0.619109
-0.814875 0.629909
-0.825025 0.640709
-0.835175 0.651509
-0.844975 0.662309
-0.855125 0.672809
-0.865275 0.68419
-0.875425 0.692664
-0.885225 0.703464
-0.895375 0.714264
-0.905525 0.724764
-0.915325 0.734692
-0.925475 0.745492
-0.935625 0.756292
-0.945425 0.766192
-0.948043 0.77552
-0.963658 0.78572
-0.950344 0.794748
-0.962615 0.804076
-0.980701 0.813103
-0.999805 0.823303
-1.00757 0.831759
-1.01737 0.841659
-1.02383 0.850114
-1.0233 0.859442
-1.02511 0.86847
-1.0304 0.877798
-1.05896 0.891777
-1.07006 0.895281
-1.07885 0.904609
-1.0853 0.91539
-1.07062 0.92152
-1.10281 0.929676
-1.09298 0.938131
-1.11936 0.946587
-1.10851 0.959694
-1.12558 0.962326
-1.13102 0.975433
-1.1273 0.97662
-1.13274 0.985076
-1.136 0.992359
-1.15068 1.00052
-1.15496 1.00578
-1.14891 1.01249
-1.15813 1.02444
-1.17084 1.02474
-1.17308 1.03116
-1.17881 1.0402
-1.17422 1.04226
-1.1796 1.0481
-1.18329 1.05219
-1.18204 1.0586
-1.18923 1.06502
-1.18943 1.0697
-1.18629 1.07554
-1.19231 1.07411
-1.19333 1.07908
-1.18801 1.08521
-1.19069 1.0893
-1.19235 1.08613
-1.1802 1.08848
-1.18433 1.09111
-1.1918 1.09666
-1.18279 1.09726
-1.16861 1.09409
-1.16823 1.10022
-1.17716 1.0953
-1.16748 1.09678
-1.16957 1.09741
-1.15574 1.09891
-1.15949 1.09925
-1.14778 1.09988
-1.14368 1.09877
-1.1358 1.10434
-1.13136 1.09712
-1.12828 1.09688
-1.12383 1.09577
-1.11974 1.09436
-1.09834 1.09383
-1.10218 1.08952
-1.08776 1.08754
-1.08846 1.08525
-1.0737 1.08327
-1.07207 1.08129
-1.06559 1.07843
-1.05699 1.07528
-1.05187 1.07533
-1.0419 1.06956
-1.03926 1.06671
-1.02348 1.06385
-1.01284 1.05983
-1.00918 1.0561
-1.00168 1.05237
-1.00136 1.04951
-0.983541 1.04491
-0.98337 1.04119
-0.983053 1.03833
-0.973083 1.03518
-0.964625 1.03232
-0.958144 1.02917
-0.953321 1.02486
-0.953817 1.02201
-0.944196 1.01915
-0.931233 1.01543
-0.913267 1.01548
-0.909607 1.0071
-0.892804 1.00337
-0.898447 0.999642
-0.888477 0.996787
-0.891649 0.993931
-0.881824 0.990203
-0.873221 0.98822
-0.876044 0.985364
-0.873401 0.982509
-0.863781 0.979653
-0.857299 0.976798
-0.847679 0.973942
-0.844686 0.971087
-0.839572 0.969103
-0.82277 0.965376
-0.826959 0.963392
-0.81946 0.959364
-0.80984 0.956509
-0.801033 0.953653
-0.800366 0.950498
-0.787402 0.94677
-0.782229 0.943042
-0.769265 0.939314
-0.766272 0.936159
-0.748307 0.932431
-0.748135 0.928703
-0.745143 0.925848
-0.73997 0.92212
-0.731512 0.918964
-0.727357 0.916109
-0.718899 0.913253
-0.69759 0.908653
-0.702884 0.904926
-0.693263 0.90177
-0.685764 0.898042
-0.675562 0.891698
-0.668063 0.88797
-0.667396 0.885114
-0.658939 0.882259
-0.661761 0.879403
-0.658769 0.876548
-0.650166 0.874264
-0.644702 0.872281
-0.634732 0.869426
-0.629618 0.867442
-0.627643 0.865459
