torque_1 torque_2
-1.03982 0.681003
-1.05131 0.683081
-1.04951 0.686031
-1.05737 0.688981
-1.0536 0.691931
-1.05427 0.694009
-1.04832 0.696087
-1.05632 0.698164
-1.05394 0.697926
-1.04116 0.699131
-1.04116 0.700337
-1.04227 0.699798
-1.03181 0.701003
-1.0433 0.703081
-1.03947 0.704287
-1.03599 0.705792
-1.03251 0.706998
-1.02329 0.705587
-1.02475 0.705048
-1.02238 0.704509
-1.01482 0.702226
-1.01527 0.701114
-1.00838 0.699703
-1.00635 0.699164
-0.993652 0.697753
-0.992641 0.698387
-0.991921 0.696976
-0.987216 0.696437
-0.98417 0.695026
-0.981791 0.694487
-0.971417 0.693076
-0.971859 0.691364
-0.959159 0.689953
-0.956113 0.688542
-0.958532 0.687131
-0.948303 0.684548
-0.951071 0.683137
-0.937354 0.680853
-0.935411 0.677698
-0.927859 0.675114
-0.922427 0.671959
-0.915542 0.670548
-0.91046 0.667392
-0.909535 0.665109
-0.90861 0.662826
-0.896551 0.65967
-0.890102 0.655342
-0.877111 0.648698
-0.875519 0.645542
-0.870087 0.642387
-0.869162 0.640103
-0.859224 0.636076
-0.862138 0.633792
-0.8522 0.629764
-0.850258 0.626609
-0.856515 0.625198
-0.845123 0.622914
-0.840709 0.620631
-0.836646 0.618348
-0.830923 0.616937
-0.827818 0.613781
-0.826893 0.611498
-0.81934 0.609214
-0.811583 0.606059
-0.816472 0.603776
-0.814094 0.603237
-0.815554 0.602698
-0.820008 0.603031
-0.81414 0.602492
-0.819757 0.602826
-0.808424 0.602287
-0.812878 0.60262
-0.80701 0.602081
-0.802306 0.601542
-0.802603 0.601303
-0.798916 0.601637
-0.798863 0.601098
-0.806951 0.600559
-0.80559 0.600892
-0.799055 0.599481
-0.796676 0.599242
-0.790809 0.598703
-0.795408 0.598164
-0.799861 0.598498
-0.782569 0.598831
-0.795018 0.600037
-0.794674 0.601242
-0.786481 0.600403
-0.794423 0.600737
-0.787247 0.60107
-0.785536 0.601103
-0.783158 0.600564
-0.782814 0.60147
-0.777964 0.601803
-0.777621 0.602709
-0.791087 0.604787
-0.791761 0.606864
-0.801739 0.608642
-0.788603 0.609848
-0.789277 0.611626
-0.77928 0.612831
-0.792746 0.614909
-0.795892 0.615814
-0.797584 0.618764
-0.807561 0.620842
-0.802275 0.623492
-0.801641 0.626442
-0.816125 0.629392
-0.81296 0.63147
-0.811163 0.63412
-0.82085 0.637942
-0.819053 0.640892
-0.831066 0.644714
-0.840753 0.648237
-0.838606 0.651187
-0.832011 0.655009
-0.831232 0.658831
-0.843245 0.662353
-0.85046 0.667048
-0.856659 0.67087
-0.856546 0.675564
-0.863762 0.680259
-0.856005 0.684081
-0.870198 0.688476
-0.869419 0.692298
-0.869657 0.696992
-0.876522 0.701687
-0.87676 0.706381
-0.894297 0.711948
-0.888721 0.716642
-0.892447 0.721337
-0.902657 0.726603
-0.909872 0.731298
-0.908802 0.736864
-0.913546 0.742431
-0.918582 0.746253
-0.92065 0.75182
-0.926703 0.756514
-0.931447 0.762081
-0.936192 0.767648
-0.944075 0.773214
-0.941987 0.777909
-0.94804 0.782603
-0.950459 0.78817
-0.953835 0.792864
-0.957562 0.797559
-0.968121 0.803126
-0.971848 0.806948
-0.966939 0.812814
-0.974155 0.817209
-0.976805 0.823639
-0.977188 0.821637
-0.977076 0.827494
-0.985309 0.829853
-0.988686 0.834829
-0.988574 0.83777
-0.991284 0.841592
-0.991171 0.848894
-0.993881 0.848637
-0.999729 0.852159
-1.00659 0.856853
-1.00727 0.857759
-0.996835 0.861281
-0.995038 0.864813
-1.00321 0.866881
-1.00557 0.870403
-1.0029 0.871318
-1.01108 0.874259
-1.00346 0.876909
-1.01062 0.878987
-1.00717 0.882509
-1.0058 0.882842
-0.998133 0.882876
-0.995113 0.884081
-1.00611 0.888185
-1.00396 0.888509
-1.0008 0.89204
-1.00845 0.89062
-0.997434 0.890081
-0.994705 0.889824
-0.988837 0.886959
-0.981602 0.884376
-0.98373 0.884709
-0.971697 0.882998
-0.970277 0.880714
-0.964555 0.878131
-0.95732 0.87672
-0.957062 0.877916
-0.943199 0.872726
-0.940907 0.871305
-0.947482 0.867859
-0.933414 0.864703
-0.928564 0.864737
-0.933831 0.86507
-0.921798 0.864231
-0.925234 0.863692
-0.904189 0.861409
-0.909892 0.858826
-0.909839 0.858287
-0.895771 0.856003
-0.895514 0.854292
-0.884122 0.852009
-0.880812 0.847981
-0.883026 0.845398
-0.86547 0.843114
-0.864399 0.841703
-0.863124 0.83912
-0.85836 0.836837
-0.850458 0.834553
-0.857178 0.833142
-0.853432 0.831431
-0.843725 0.830892
-0.834514 0.829481
-0.840071 0.82807
-0.839814 0.826659
-0.830108 0.82582
-0.834357 0.824981
-0.83061 0.82327
-0.833696 0.822131
-0.813669 0.82042
-0.825186 0.817837
-0.818619 0.816998
-0.826357 0.815859
-0.820139 0.81502
-0.81741 0.814181
-0.820206 0.815087
-0.821838 0.815992
-0.816784 0.814853
-0.800912 0.814014
-0.813011 0.81492
-0.814644 0.815826
-0.824417 0.816731
-0.816746 0.817637
-0.818523 0.81767
-0.823295 0.818276
-0.821293 0.820053
