angle_1 angle_2
-0.724788 1.77875
-0.724788 1.77867
-0.724759 1.77855
-0.724759 1.77846
-0.72473 1.77837
-0.724701 1.77826
-0.724672 1.77814
-0.724672 1.77803
-0.724643 1.77791
-0.724613 1.77776
-0.724584 1.77762
-0.724555 1.77747
-0.724526 1.77733
-0.724497 1.77718
-0.724468 1.77704
-0.72441 1.77683
-0.724352 1.77669
-0.724294 1.77646
-0.724235 1.77622
-0.724177 1.77599
-0.724119 1.77573
-0.724032 1.77547
-0.723945 1.77518
-0.723858 1.77483
-0.72377 1.77448
-0.723625 1.77398
-0.723509 1.77355
-0.723363 1.77302
-0.723218 1.7725
-0.723073 1.77204
-0.722956 1.77157
-0.72284 1.77102
-0.722695 1.7705
-0.72252 1.76986
-0.722375 1.76925
-0.7222 1.76863
-0.722026 1.76797
-0.721851 1.76733
-0.721619 1.76654
-0.721415 1.76576
-0.721183 1.76494
-0.720921 1.7641
-0.720688 1.76334
-0.720398 1.76247
-0.720136 1.7616
-0.719845 1.76076
-0.719525 1.7598
-0.719177 1.75878
-0.718828 1.75776
-0.718421 1.7568
-0.718101 1.75596
-0.717752 1.75506
-0.717345 1.75418
-0.716909 1.75325
-0.716473 1.75238
-0.716037 1.75157
-0.715571 1.75073
-0.715106 1.74991
-0.714554 1.74904
-0.71406 1.74822
-0.713478 1.74738
-0.712868 1.74651
-0.712373 1.74587
-0.71185 1.74517
-0.711123 1.74433
-0.710483 1.7436
-0.709873 1.74296
-0.709233 1.74232
-0.708594 1.74168
-0.707896 1.74101
-0.707198 1.74032
-0.706529 1.73971
-0.705744 1.73898
-0.705163 1.73846
-0.704523 1.73793
-0.703855 1.73741
-0.703128 1.73689
-0.702314 1.73633
-0.701674 1.73593
-0.700947 1.73549
-0.70022 1.73511
-0.699523 1.73479
-0.698883 1.7345
-0.698243 1.73436
-0.697545 1.73404
-0.696848 1.73377
-0.696179 1.73351
-0.695539 1.73328
-0.6949 1.73308
-0.694173 1.73273
-0.693533 1.73247
-0.692777 1.73203
-0.692138 1.73171
-0.691498 1.73133
-0.690829 1.7309
-0.69019 1.73043
-0.68955 1.73
-0.68891 1.72956
-0.688358 1.72918
-0.687748 1.72875
-0.687079 1.72831
-0.686468 1.72784
-0.685916 1.72747
-0.685305 1.727
-0.684724 1.72656
-0.6842 1.72613
-0.683619 1.72563
-0.683096 1.7252
-0.682543 1.72467
-0.682049 1.72421
-0.681555 1.72372
-0.681148 1.72331
-0.680653 1.72281
-0.680159 1.72232
-0.679665 1.72183
-0.6792 1.72136
-0.678793 1.72092
-0.678415 1.72052
-0.678008 1.72011
-0.677659 1.71973
-0.677339 1.71938
-0.67699 1.71901
-0.676699 1.71869
-0.67638 1.71834
-0.676118 1.71805
-0.675885 1.71778
-0.675624 1.71749
-0.67542 1.71726
-0.675217 1.71706
-0.674984 1.7168
-0.674839 1.71665
-0.674693 1.7165
-0.674577 1.71639
-0.67449 1.7163
-0.674403 1.71621
-0.674344 1.71616
-0.674286 1.7161
-0.674257 1.71607
-0.67417 1.71598
-0.67417 1.71598
-0.67417 1.71598
-0.674141 1.71595
-0.674141 1.71595
-0.674141 1.71595
-0.674141 1.71595
-0.674141 1.71592
-0.674141 1.71589
-0.67417 1.71589
-0.67417 1.71584
-0.67417 1.71581
-0.67417 1.71578
-0.674199 1.71578
-0.674199 1.71575
-0.674199 1.71572
-0.674199 1.71569
-0.674199 1.71563
-0.674199 1.71557
-0.674199 1.71552
-0.674199 1.71543
-0.674199 1.71537
-0.674199 1.71531
-0.674199 1.71525
-0.674199 1.7152
-0.674199 1.71517
-0.674199 1.71511
-0.674199 1.71508
-0.674199 1.71505
-0.674199 1.71502
-0.67417 1.71496
-0.674141 1.71491
-0.674141 1.71491
-0.674112 1.71485
-0.674083 1.71479
-0.674025 1.71473
-0.673995 1.71467
-0.673966 1.71462
-0.673937 1.71453
-0.673908 1.71447
-0.67385 1.71438
-0.673792 1.71427
-0.673763 1.71418
-0.673705 1.71406
-0.673647 1.71392
-0.673588 1.7138
-0.673501 1.71363
-0.673443 1.71348
-0.673327 1.71325
-0.673269 1.71313
-0.673181 1.71296
-0.673094 1.71278
-0.673007 1.71255
-0.672891 1.71235
-0.672774 1.71211
-0.672629 1.71185
-0.672542 1.71165
-0.672396 1.71142
-0.67228 1.71116
-0.672106 1.71086
-0.67196 1.71057
-0.671786 1.71028
-0.67164 1.71002
-0.671437 1.7097
-0.671263 1.70941
-0.671088 1.70912
-0.670914 1.7088
-0.67071 1.70845
-0.670478 1.7081
-0.670245 1.70775
-0.67007 1.70743
-0.669838 1.70708
-0.669605 1.70677
-0.669373 1.70642
-0.669111 1.70604
-0.668791 1.70563
-0.6685 1.70525
-0.668239 1.7049
-0.667948 1.70456
-0.667628 1.70415
-0.667308 1.70377
-0.666989 1.70342
-0.666698 1.70304
-0.66632 1.70264
-0.666029 1.70232
-0.665709 1.70197
-0.665331 1.70159
-0.664895 1.70112
-0.664546 1.70078
-0.664139 1.70034
-0.663761 1.69996
-0.663325 1.69953
-0.662976 1.69918
-0.662628 1.69883
-0.66222 1.69842
-0.661755 1.69796
-0.66129 1.69749
-0.660796 1.697
-0.660302 1.6965
-0.659807 1.69601
-0.659284 1.69548
-0.65879 1.69499
-0.658208 1.69441
-0.657627 1.69383
-0.657133 1.69333
-0.656609 1.69281
-0.656028 1.69223
-0.655388 1.69159
-0.654836 1.69104
-0.654312 1.69051
-0.65376 1.68996
-0.653178 1.68938
-0.652655 1.68886
-0.652074 1.68827
-0.65155 1.68775
-0.650969 1.68717
-0.650329 1.68653
-0.649835 1.68604
-0.64937 1.68557
-0.648788 1.68499
-0.648265 1.68447
-0.647742 1.68394
-0.647276 1.68348
-0.646753 1.68295
-0.646259 1.68246
-0.645677 1.68188
-0.645125 1.68133
-0.644573 1.68077
-0.643962 1.68016
-0.643351 1.67955
-0.642915 1.67912
-0.642479 1.67868
-0.642072 1.6783
-0.641694 1.67792
-0.641316 1.67755
-0.640909 1.67714
-0.640473 1.6767
-0.640124 1.67635
-0.639717 1.67595
-0.639368 1.67566
-0.639048 1.67534
-0.63867 1.67496
-0.638293 1.67461
-0.637973 1.67429
-0.637595 1.67391
-0.637304 1.67362
-0.637042 1.67336
-0.63681 1.67313
-0.636548 1.67286
-0.636286 1.6726
-0.636054 1.67237
-0.635792 1.67211
-0.63556 1.67188
-0.635327 1.67164
-0.635094 1.67141
-0.634891 1.67121
-0.634629 1.67095
-0.634397 1.67071
-0.634193 1.67051
-0.63396 1.67028
-0.633728 1.67004
-0.633495 1.66981
-0.633321 1.66964
-0.633117 1.66943
-0.632856 1.66917
-0.632652 1.66897
-0.632449 1.66877
-0.632245 1.66856
-0.632042 1.66836
-0.631809 1.66813
-0.631576 1.66789
-0.631373 1.66769
-0.631111 1.66743
-0.630879 1.6672
-0.630704 1.66702
-0.630472 1.66679
-0.630239 1.66656
-0.630065 1.66638
-0.62989 1.66621
-0.629745 1.66606
-0.629541 1.66586
-0.629338 1.66565
-0.629105 1.66542
-0.628931 1.66522
-0.628756 1.66504
-0.628524 1.66481
-0.628378 1.66467
-0.628204 1.66449
-0.627971 1.66426
-0.627797 1.66408
-0.627593 1.66388
-0.62739 1.66368
-0.627215 1.6635
-0.62707 1.66336
-0.626983 1.66327
-0.626837 1.66312
-0.626692 1.66298
-0.626518 1.66281
-0.626343 1.66263
-0.62614 1.6624
-0.625994 1.66225
-0.625878 1.66214
-0.625733 1.66199
-0.625587 1.66185
-0.625442 1.6617
-0.625325 1.66155
-0.62518 1.66141
-0.625064 1.66129
-0.624918 1.66115
-0.624773 1.66097
-0.624657 1.66086
-0.62454 1.66074
-0.624424 1.6606
